Stock,Date,Close
SZC,2025-04-08,33.7
TCO,2025-04-08,10.25
TIP,2025-04-08,17.7
TTA,2025-04-08,9.68
TVT,2025-04-08,13.95
VMD,2025-04-08,15.5
VPB,2025-04-08,16.25
VTP,2025-04-08,108.2
ACB,2025-04-04,23.8
ADS,2025-04-04,8.13
AGR,2025-04-04,15.75
ANV,2025-04-04,14.3
BAF,2025-04-04,30.05
BID,2025-04-04,36.0
CII,2025-04-04,12.05
CKG,2025-04-04,16.1
CSM,2025-04-04,11.9
DPM,2025-04-04,31.7
DXG,2025-04-04,14.15
FPT,2025-04-04,113.0
GEX,2025-04-04,23.6
GVR,2025-04-04,27.65
HCM,2025-04-04,27.35
HHS,2025-04-04,10.5
HTL,2025-04-04,27.0
HVN,2025-04-04,28.4
IJC,2025-04-04,12.1
MBB,2025-04-04,22.45
NKG,2025-04-04,13.2
NTL,2025-04-04,14.15
OCB,2025-04-04,10.25
PDR,2025-04-04,17.35
PLX,2025-04-04,35.7
POW,2025-04-04,11.4
PVT,2025-04-04,21.5
SHB,2025-04-04,12.05
STB,2025-04-04,37.4
SZC,2025-04-04,36.2
TCO,2025-04-04,11.0
TIP,2025-04-04,19.0
TTA,2025-04-04,10.4
TVT,2025-04-04,15.0
VMD,2025-04-04,16.5
VPB,2025-04-04,17.45
VTP,2025-04-04,116.3
ACB,2025-04-03,24.15
ADS,2025-04-03,8.74
AGR,2025-04-03,16.8
ANV,2025-04-03,15.35
BAF,2025-04-03,29.8
BID,2025-04-03,36.0
CII,2025-04-03,12.95
CKG,2025-04-03,17.3
CSM,2025-04-03,12.75
DPM,2025-04-03,32.85
DXG,2025-04-03,14.85
FPT,2025-04-03,113.5
GEX,2025-04-03,23.9
GVR,2025-04-03,29.7
HCM,2025-04-03,28.65
HHS,2025-04-03,10.4
HTL,2025-04-03,27.3
HVN,2025-04-03,27.9
IJC,2025-04-03,12.8
MBB,2025-04-03,22.65
NKG,2025-04-03,14.15
NTL,2025-04-03,15.2
OCB,2025-04-03,10.55
PDR,2025-04-03,18.15
PLX,2025-04-03,37.4
POW,2025-04-03,11.95
PVT,2025-04-03,23.05
SHB,2025-04-03,11.7
STB,2025-04-03,36.55
SZC,2025-04-03,38.9
TCO,2025-04-03,11.25
TIP,2025-04-03,20.15
TTA,2025-04-03,10.9
TVT,2025-04-03,15.85
VMD,2025-04-03,15.85
VPB,2025-04-03,17.85
VTP,2025-04-03,125.0
ACB,2025-04-02,25.95
ADS,2025-04-02,9.39
AGR,2025-04-02,18.05
ANV,2025-04-02,16.5
BAF,2025-04-02,32.0
BID,2025-04-02,38.7
CII,2025-04-02,13.9
CKG,2025-04-02,18.6
CSM,2025-04-02,13.7
DPM,2025-04-02,35.3
DXG,2025-04-02,15.95
FPT,2025-04-02,122.0
GEX,2025-04-02,25.65
GVR,2025-04-02,31.9
HCM,2025-04-02,30.8
HHS,2025-04-02,11.15
HTL,2025-04-02,29.1
HVN,2025-04-02,29.95
IJC,2025-04-02,13.75
MBB,2025-04-02,24.35
NKG,2025-04-02,15.2
NTL,2025-04-02,16.3
OCB,2025-04-02,11.3
